1054's, x : 64.5712433
1055's, x : 64.5914383
1056's, x : 66.2362823
1057's, x : 66.2803116
1058's, x : 65.1588440
1059's, x : 65.0955276
1060's, x : 66.0246353
1061's, x : 65.1398697
1062's, x : 65.1572495
1063's, x : 66.1034927
1064's, x : 64.1757202
1065's, x : 63.9598808
1066's, x : 64.0150604
1067's, x : 64.1838531
1068's, x : 65.1803207
1069's, x : 64.4001083
1070's, x : 64.3640518
1071's, x : 65.1588440
1072's, x : 66.3181152
1073's, x : 65.1803207
1074's, x : 65.1588440
1075's, x : 66.2803116
1076's, x : 64.2000961
1077's, x : 63.9746628
1078's, x : 63.9598808
1079's, x : 64.1757202
1080's, x : 65.1513748
1081's, x : 64.4498596
1082's, x : 64.4001083
1083's, x : 65.1803207
1084's, x : 65.1513748
1085's, x : 65.1803207
1086's, x : 66.3181152
1087's, x : 66.2378006
1088's, x : 64.2000961
1089's, x : 64.1505814
1090's, x : 63.5862808
1091's, x : 63.9746628
1092's, x : 65.1572495
1093's, x : 64.5914383
1094's, x : 64.4498596
1095's, x : 65.1513748
1096's, x : 66.1034927
1097's, x : 65.1572495
1098's, x : 65.1513748
1099's, x : 66.2378006
1100's, x : 66.4441910
1101's, x : 66.5179977
1102's, x : 66.2362823
1103's, x : 66.1737823
1104's, x : 66.5179977
1105's, x : 66.5758209
1106's, x : 66.2803116
1107's, x : 66.2362823
1108's, x : 66.6053314
1109's, x : 66.3181152
1110's, x : 66.2803116
1111's, x : 66.5758209
1112's, x : 66.7576904
1113's, x : 66.8809204
1114's, x : 66.5179977
1115's, x : 66.4441910
1116's, x : 66.8809204
1117's, x : 66.9054642
1118's, x : 66.5758209
1119's, x : 66.5179977
1120's, x : 66.7576904
1121's, x : 66.4441910
1122's, x : 66.2895584
1123's, x : 66.7811356
1124's, x : 66.7811356
1125's, x : 66.9195023
1126's, x : 67.5617218
1127's, x : 67.5157700
1128's, x : 67.5617218
1129's, x : 66.9195023
1130's, x : 67.0218277
1131's, x : 67.6300812
1132's, x : 67.0420074
1133's, x : 67.0743103
1134's, x : 66.5536880
1135's, x : 66.5810852
1136's, x : 66.9054642
1137's, x : 66.9099503
1138's, x : 66.6053314
1139's, x : 66.5758209
1140's, x : 66.9754486
1141's, x : 67.0420074
1142's, x : 66.5810852
1143's, x : 66.6199036
1144's, x : 67.5064545
1145's, x : 67.5684814
1146's, x : 66.8809204
1147's, x : 66.7576904
1148's, x : 67.5684814
1149's, x : 67.6631927
1150's, x : 66.9054642
1151's, x : 66.8809204
1152's, x : 67.5157700
